State,,County,Percent
AL,0,Autauga,0.27
AL,1,Baldwin,0.22
AL,2,Barbour,0.46
AL,3,Bibb,0.21
AL,4,Blount,0.10
AL,5,Bullock,0.75
AL,6,Butler,0.42
AL,7,Calhoun,0.30
AL,8,Chambers,0.42
AL,9,Cherokee,0.13
AL,10,Chilton,0.16
AL,11,Choctaw,0.42
AL,12,Clarke,0.44
AL,13,Clay,0.18
AL,14,Cleburne,0.09
AL,15,Coffee,0.23
AL,16,Colbert,0.29
AL,17,Conecuh,0.46
AL,18,Coosa,0.33
AL,19,Covington,0.16
AL,20,Crenshaw,0.26
AL,21,Cullman,0.11
AL,22,Dale,0.26
AL,23,Dallas,0.69
AL,24,DeKalb,0.15
AL,25,Elmore,0.25
AL,26,Escambia,0.31
AL,27,Etowah,0.24
AL,28,Fayette,0.16
AL,29,Franklin,0.17
AL,30,Geneva,0.13
AL,31,Greene,0.81
AL,32,Hale,0.59
AL,33,Henry,0.28
AL,34,Houston,0.28
AL,35,Jackson,0.16
AL,36,Jefferson,0.56
AL,37,Lamar,0.14
AL,38,Lauderdale,0.27
AL,39,Lawrence,0.22
AL,40,Lee,0.39
AL,41,Limestone,0.28
AL,42,Lowndes,0.73
AL,43,Macon,0.82
AL,44,Madison,0.45
AL,45,Marengo,0.50
AL,46,Marion,0.11
AL,47,Marshall,0.15
AL,48,Mobile,0.43
AL,49,Monroe,0.42
AL,50,Montgomery,0.65
AL,51,Morgan,0.25
AL,52,Perry,0.74
AL,53,Pickens,0.42
AL,54,Pike,0.41
AL,55,Randolph,0.20
AL,56,Russell,0.53
AL,57,St. Clair,0.17
AL,58,Shelby,0.29
AL,59,Sumter,0.74
AL,60,Talladega,0.37
AL,61,Tallapoosa,0.28
AL,62,Tuscaloosa,0.42
AL,63,Walker,0.16
AL,64,Washington,0.25
AL,65,Wilcox,0.69
AL,66,Winston,0.09
AK,0,ED 1,0.48
AK,1,ED 2,0.34
AK,2,ED 3,0.23
AK,3,ED 4,0.53
AK,4,ED 5,0.48
AK,5,ED 6,0.35
AK,6,ED 7,0.23
AK,7,ED 8,0.20
AK,8,ED 9,0.25
AK,9,ED 10,0.25
AK,10,ED 11,0.30
AK,11,ED 12,0.26
AK,12,ED 13,0.35
AK,13,ED 14,0.37
AK,14,ED 15,0.47
AK,15,ED 16,0.53
AK,16,ED 17,0.57
AK,17,ED 18,0.61
AK,18,ED 19,0.59
AK,19,ED 20,0.66
AK,20,ED 21,0.58
AK,21,ED 22,0.48
AK,22,ED 23,0.49
AK,23,ED 24,0.45
AK,24,ED 25,0.49
AK,25,ED 26,0.45
AK,26,ED 27,0.51
AK,27,ED 28,0.49
AK,28,ED 29,0.28
AK,29,ED 30,0.26
AK,30,ED 31,0.41
AK,31,ED 32,0.42
AK,32,ED 33,0.69
AK,33,ED 34,0.54
AK,34,ED 35,0.50
AK,35,ED 36,0.41
AK,36,ED 37,0.48
AK,37,ED 38,0.61
AK,38,ED 39,0.62
AK,39,ED 40,0.50
AZ,0,Apache,0.66
AZ,1,Cochise,0.39
AZ,2,Coconino,0.61
AZ,3,Gila,0.32
AZ,4,Graham,0.27
AZ,5,Greenlee,0.32
AZ,6,La Paz,0.30
AZ,7,Maricopa,0.50
AZ,8,Mohave,0.24
AZ,9,Navajo,0.45
AZ,10,Pima,0.59
AZ,11,Pinal,0.41
AZ,12,Santa Cruz,0.67
AZ,13,Yavapai,0.35
AZ,14,Yuma,0.46
AR,0,Arkansas,0.29
AR,1,Ashley,0.27
AR,2,Baxter,0.22
AR,3,Benton,0.35
AR,4,Boone,0.18
AR,5,Bradley,0.33
AR,6,Calhoun,0.22
AR,7,Carroll,0.34
AR,8,Chicot,0.55
AR,9,Clark,0.41
AR,10,Clay,0.19
AR,11,Cleburne,0.16
AR,12,Cleveland,0.18
AR,13,Columbia,0.33
AR,14,Conway,0.30
AR,15,Craighead,0.31
AR,16,Crawford,0.21
AR,17,Crittenden,0.52
AR,18,Cross,0.26
AR,19,Dallas,0.36
AR,20,Desha,0.48
AR,21,Drew,0.35
AR,22,Faulkner,0.34
AR,23,Franklin,0.18
AR,24,Fulton,0.20
AR,25,Garland,0.32
AR,26,Grant,0.16
AR,27,Greene,0.19
