Area name,Unemployment_rate_2019,Median_Household_Income_2018
United States,3.7,"61,937"
Alabama,3,"49,881"
"Autauga County, AL",2.7,"59,338"
"Baldwin County, AL",2.7,"57,588"
"Barbour County, AL",3.8,"34,382"
"Bibb County, AL",3.1,"46,064"
"Blount County, AL",2.7,"50,412"
"Bullock County, AL",3.6,"29,267"
"Butler County, AL",3.6,"37,365"
"Calhoun County, AL",3.5,"45,400"
"Chambers County, AL",2.9,"39,917"
"Cherokee County, AL",2.9,"42,132"
"Chilton County, AL",2.7,"47,547"
"Choctaw County, AL",4.7,"39,907"
"Clarke County, AL",5.8,"40,741"
"Clay County, AL",3,"39,201"
"Cleburne County, AL",3.2,"46,495"
"Coffee County, AL",2.9,"55,122"
"Colbert County, AL",3.7,"49,055"
"Conecuh County, AL",4,"32,613"
"Coosa County, AL",3,"42,423"
"Covington County, AL",3.4,"40,203"
"Crenshaw County, AL",2.8,"39,057"
"Cullman County, AL",2.6,"45,796"
"Dale County, AL",3.1,"45,309"
"Dallas County, AL",5.5,"34,035"
"DeKalb County, AL",2.8,"39,491"
"Elmore County, AL",2.6,"60,367"
"Escambia County, AL",3.5,"38,418"
"Etowah County, AL",3.3,"44,903"
"Fayette County, AL",3.1,"39,254"
"Franklin County, AL",2.8,"39,388"
"Geneva County, AL",2.9,"37,823"
"Greene County, AL",5.6,"28,524"
"Hale County, AL",3.9,"34,724"
"Henry County, AL",3.6,"46,027"
"Houston County, AL",3,"47,993"
"Jackson County, AL",3.3,"41,929"
"Jefferson County, AL",2.9,"55,013"
"Lamar County, AL",3.1,"40,936"
"Lauderdale County, AL",3.3,"48,707"
"Lawrence County, AL",3.1,"43,909"
"Lee County, AL",2.7,"48,937"
"Limestone County, AL",2.6,"64,863"
"Lowndes County, AL",5.7,"33,973"
"Macon County, AL",4.3,"32,495"
"Madison County, AL",2.5,"63,755"
"Marengo County, AL",3.5,"37,733"
"Marion County, AL",3.4,"37,887"
"Marshall County, AL",2.5,"46,233"
"Mobile County, AL",3.7,"43,598"
"Monroe County, AL",4.9,"39,556"
"Montgomery County, AL",3.1,"49,640"
"Morgan County, AL",2.6,"52,797"
"Perry County, AL",5.2,"26,814"
"Pickens County, AL",3.5,"37,586"
"Pike County, AL",3.3,"37,259"
"Randolph County, AL",3,"40,546"
"Russell County, AL",2.9,"39,104"
"St. Clair County, AL",2.7,"57,284"
"Shelby County, AL",2.2,"75,663"
